Flem-Laax	15
Flem-Laax-Falera	15
Flepp	59
Flerda	27
Flerden	35
Flims	53
Fliri	99
Flisch	15
Flischs	15
Flond	66
Flora	78
Floras	15
Florian	97
Florin	88
Florin-Planta	15
Flurin	128
Flurina	104
Flurinas	27
Flurinda	93
Flurindas	15
Flurins	15
Flury	95
Flückiger	61
Flüela	143
Flütsch	83
Fontana	101
Foppa	84
Foppas	27
Ford	53
Forster	56
Fortunat	78
Fortunata	45
Fortunatas	15
Fortunats	15
Franca	78
Francas	27
Frances	91
Francesa	35
Francesas	40
Francesca	51
Francesco	78
Francisca	35
Franciscas	15
Francisco	63
Franco	108
Franconia	15
Frank	86
Frantscha	118
Franz	112
Franz-Anton	15
Franz-Josef	27
Franzais-ch	53
Franzais-cha	15
Franzais-chas	15
Franzais-chs	15
Franziska	81
François	71
Françoise	35
Fravi	68
Frei	83
Frei-Tobler	15
Frena	27
Frenas	15
Frey	98
Friaul	71
Friauls	15
Friberg	51
Friburg	89
Friburgais	40
Friburgaisa	15
Friburgaisas	15
Frida	27
Fridas	15
Fridulin	15
Fridulins	15
Friedli	45
Frischknecht	68
Frislanda	35
Frislandais	27
Frislandaisa	15
Frislandaisas	15
Fritz	111
Frédéric	66
Ftan	160
Ftan-Scuol	15
Fuchs	80
Fuldera	128
Fuldera-Dora	27
Fuldera-Lü-Tschierv	48
Fuldera-Tschierv-Lü	27
Fumia	35
Fumias	15
Fundaziun	133
Fuond	96
Fuorn	123
Furca	27
Furca-Alpsu	45
Furlan	27
Furlana	15
Furlanas	15
Furlans	56
Furna	61
Furrer	101
Fässler	69
Fögl	105
Fögls	35
Fürstenau	51
GR	70
Gabriel	95
Gabriela	81
Gabrielas	15
Gabriels	15
Gal	86
Galilea	15
Galizia	58
Galizian	15
Galiziana	15
Galizianas	15
Galizians	15
Galizias	15
Galla	109
Gallas	15
Gallia	40
Galliers	15
Gals	15
Garcia	40
Gartmann	78
Gasser	104
Gautschi	73
Gazetta	69
Gazettas	35
Gehrig	73
Geiser	40
Genevra	108
Genevrin	15
Genevrina	15
Genevrinas	15
Genevrins	27
Genua	61
Georg	132
Georges	74
Gerard	48
Gerards	15
Gerber	68
Geremia	15
Geremias	15
Gerhard	87
German	48
Germania	137
Germann	89
Germans	53
Gerold	84
Gerolds	15
Geronas	15
Gertrud	58
Gertruda	15
Gertrudas	15
Gerusalem	73
Gervasch	27
Gervaschs	15
Gesu	115
Gfeller	40
Giacobea	15
Giacobeas	15
Giacobina	15
Giacobinas	15
Giacometti	126
Giacometti-Vital	27
Giacomina	40
Giacominas	15
Giacumin	56
Giacumina	27
Giacuminas	15
Giacumins	15
Giagl	45
Giagls	15
Gian	139
Gian-Andrea	48
Gian-Battista	27
Gian-Chasper	15
Gian-Duri	53
Gian-Fadri	40
Gian-Franco	27
Gian-Luigi	15
Gian-Marchet	27
Gian-Marco	53
Gian-Paul	56
Gian-Reto	45
Gianna	103
Gianuot	15
Gianuots	15
Giapun	93
Giapunais	56
Giapunaisa	15
Giapunaisas	15
Giarsun	98
Gideon	27
Gideons	15
Gieri	93
Giger	91
Giger-Candinas	15
Giger-Maissen	15
Giger-Monn	15
Gilli	102
Gillits	15
Gilly	59
Gilly-Brügger	40
Ginuot	51
Ginuots	15
Gioachim	15
Gioachims	15
Gioakim	15
Gioakims	15
Gioanna	15
Gioannas	15
Gioannes	15
Giob	45
Gioba	15
Giobas	15
Giobs	15
Giohen	15
Giohens	15
Gion	131
Gion-Andrea	15
Gions	35
Giorgina	35
Giorginas	15
Giosefa	15
Giosefas	15
Giosefina	15
Giosefinas	15
Giosuel	15
Giosuels	15
Giosuè	27
Giosuès	15
Giousch	15
Giouschs	15
Giovanna	69
Giovannas	15
Giovanni	112
Giovanoli	111
Gisep	109
Giseps	15
Gisler	59
GiuRu	78
Giuanna	15
Giuf	35
Giuglia	15
Giuglias	15
Giulia	56
Giuliana	51
Giulianas	15
Giuseppe	79
Giuvaulta	48
Givòlta	48
Glaruna	96
Glarunaisas	15
Glas	45
Glauser	35
Glion	128
Glogn	53
Gloor	70
Gluorn	100
Gluorn-Damal	15
Godly	91
Goliat	45
Goliats	15
Good	61
Google	27
Gorizia	35
Gottard	86
Gottard-Alpsu	15
Graber	56
Graf	92
Graf-Camichel	15
Grazian	27
Grazians	15
Grec	53
Greca	27
Grecas	15
Grecia	79
Grecs	77
Gredig	77
Gregori	70
Gregoris	15
Gretta	82
Grettas	15
Grettina	58
Grettinas	15
Grevasalvas	59
Grischott	27
Grischun	175
Grischun-Tirol	15
Grischuna	97
Grob	78
Grond	132
Grond-Malgiaritta	40
Gross	124
Gross-Bass	79
Grossenbacher	15
Gruber	89
Gruober	15
Grönlanda	58
Grönlandais	15
Grönlandaisa	15
Grönlandaisas	15
Grünenfelder	85
Gualser	45
Gualsers	79
Gualsra	27
Gualsras	15
Guarda	142
Guarda-Lavin	15
Gubert	15
Guberts	15
Gudainz	15
Gudainzs	15
Gudench	79
Gudenchs	15
Guetg	48
Guglielm	45
Guglielms	15
Guido	111
Guler	95
Guolf	87
Guolfs	15
Gustav	77
Gustavs	15
Gustin	112
Gustins	27
Gut	70
Göri	96
Göris	15
Güerg	51
Güergs	15
Güglia	106
Güglias	15
Güstin	15
Güstina	15
Güstinas	15
Güstins	15
HIV	65
HIV-positiv	15
HIV-positivs	15
HIVa	15
HIVas	15
HIVs	15
Haas	84
Habacuc	15
Habacucs	15
Hagai	15
Hagais	15
Hagar	27
Hagars	15
Haller	118
Halter	56
Hanna	51
Hanna-Christine	15
Hannas	15
Hans	139
Hans-Beat	27
Hans-Georg	27
Hans-Jörg	71
Hans-Jürg	64
Hans-Marti	15
Hans-Melchior	15
Hans-Peter	99
Hans-Rudolf	51
Hans-Ulrich	40
Hans-Urs	35
Hans-Werner	15
Hartmann	107
Hasler	76
Hassler	116
Hauser	78
Hedwig	45
Heidi	117
Heiniger	15
Heinrich	118
Heinz	114
Heinz-Roland	15
Held	45
Heldstab	35
Helena	72
Helena-Maria	15
Helene	40
Hemmi	56
Hemmi-Bezzola	15
Hendry	64
Hendry-Monn	15
Hendry-Schmid	15
Hendry-Venzin	15
Herbert	71
Hermann	106
Hermina	59
Herminas	15
Herrmann	27
Herzog	80
Hess	79
Hirschi	15
Hitz	77
Hobi	40
Hodel	15
Hofer	94
Hofmann	105
Hofmann-Conrad	45
Hofstetter	71
Hohenegger	104
Holderegger	40
Honda	45
Hosea	15
Hoseas	15
Hostettler	15
Huawei	15
Huber	123
Hug	79
Hug-Sutter	27
Hugo	98
Hunger	64
Hunger-Schmid	15
Hunziker	65
Huonder	88
Huonder-Jenny	27
Hutter	56
Hyundai	15
Häfliger	35
Hänni	56
Hürlimann	73
IA	15
IAs	15
IBM	27
IPM	45
IPMs	40
Ida	97
Idas	15
Ilanz	35
Ill'Agenda	15
Ill'America	15
Ill'Aurora	15
Ill'Uniun	15
Imhof	45
India	85
Indian	45
Indiana	15
Indianas	15
Indians	77
Influenzader	15
Influenzaders	15
Influenzadra	15
Influenzadras	15
Ingalterra	89
Inglais	78
Inglaisa	15
Inglaisas	15
Inglina	80
Inglinas	15
Innerferrera	15
Instagram	15
Intel	27
Irac	69
Irene	82
Iris	94
Irlanda	35
Irlandais	15
Irlandaisa	15
Irlandaisas	15
Irma	89
Irmas	15
Isaac	40
Isaacs	15
Isabel	48
Isabella	66
Isabellas	15
Isabelle	71
Iseli	35
Islanda	27
Islandais	15
Islandaisa	15
Islandaisas	15
Isler	89
Ismael	40
Ismaela	15
Ismaelas	15
Ismaels	15
Isola	51
Israel	75
Istraelit	15
Istraelita	15
Istraelitas	15
Istraelits	15
Istria	15
Italia	125
Italia-Austria-Svizra	15
Italia-Svizra	15
Iten	63
Ivan	84
Ivo	94
Jachen	137
Jachens	15
Jacobus	76
Jacomet	58
Jacqueline	68
Jacques	116
Jakob	100
Jan	95
Jan-Andrea	45
Jana	35
Janett	133
Janett-Caviezel	40
Janett-Marugg	15
Janett-Melcher	27
Janett-Nuotclà	15
Janett-Vital	40
Janetts	63
Janine	15
Janka	68
Jann	85
Jaronas	15
Jauer	90
Jauers	119
Jaura	121
Jauras	63
Jean-Pierre	53
Jeannette	15
Jegher	27
Jelscha	35
Jelschas	15
Jenal	102
Jenal-Gross	48
Jenal-Müller	15
Jenaz	69
Jenni	64
Jennifer	59
Jenny	94
Jeremia	40
Jeremias	64
Jessica	64
Joakim	15
Joakims	15
Joannes	95
Joel	27
Joels	15
Johann	115
Johanna	84
Johannes	108
John	84
Jolanda	82
Jon	161
Jon-Peider	15
Jona	61
Jonas	71
Jonatan	27
Jonatans	15
Jonathan	45
Jonpitschen	56
Jonpitschens	15
Jons	15
Joos	111
Jorge	58
Josafat	15
Josafats	15
Josef	115
Josefina	69
Josefinas	15
Josefs	15
Josia	15
Josias	51
Jost	95
Josua	35
Josuas	15
José	51
Jotam	15
Jotams	15
Jouer	15
Jouers	15
Joura	15
Jouras	15
Jousch	15
Jouschs	15
Joël	69
Juda	27
Judas	48
Judith	72
Juditta	15
Judittas	15
Julia	76
Julian	35
Julias	15
Julie	45
Julien	27
Jupiter	63
Jupiters	15
